Subject Activity variable value
7 WalkingDownstairs MeanBodyAccelerationMagnitude 0.28030708
7 Sitting MeanBodyAccelerationMagnitude 0.284674637291667
7 Standing MeanBodyAccelerationMagnitude 0.282723539433962
7 Laying MeanBodyAccelerationMagnitude 0.250176694038462
8 Walking MeanBodyAccelerationMagnitude 0.27468631
8 WalkingUpstairs MeanBodyAccelerationMagnitude 0.258880152048781
8 WalkingDownstairs MeanBodyAccelerationMagnitude 0.283484089210526
8 Sitting MeanBodyAccelerationMagnitude 0.267491472934783
8 Standing MeanBodyAccelerationMagnitude 0.279620986111111
8 Laying MeanBodyAccelerationMagnitude 0.261254282907407
9 Walking MeanBodyAccelerationMagnitude 0.278502842115385
9 WalkingUpstairs MeanBodyAccelerationMagnitude 0.262436475714286
9 WalkingDownstairs MeanBodyAccelerationMagnitude 0.295923445
9 Sitting MeanBodyAccelerationMagnitude 0.24832674354
9 Standing MeanBodyAccelerationMagnitude 0.282310057333333
9 Laying MeanBodyAccelerationMagnitude 0.2591955368
10 Walking MeanBodyAccelerationMagnitude 0.278574076603774
10 WalkingUpstairs MeanBodyAccelerationMagnitude 0.267121853404255
10 WalkingDownstairs MeanBodyAccelerationMagnitude 0.290401594315789
10 Sitting MeanBodyAccelerationMagnitude 0.270612056481481
10 Standing MeanBodyAccelerationMagnitude 0.276650300681818
10 Laying MeanBodyAccelerationMagnitude 0.280230574137931
11 Walking MeanBodyAccelerationMagnitude 0.271821892881356
11 WalkingUpstairs MeanBodyAccelerationMagnitude 0.263775859277778
11 WalkingDownstairs MeanBodyAccelerationMagnitude 0.291605631956522
11 Sitting MeanBodyAccelerationMagnitude 0.276590197358491
11 Standing MeanBodyAccelerationMagnitude 0.277715562765957
11 Laying MeanBodyAccelerationMagnitude 0.280592970877193
12 Walking MeanBodyAccelerationMagnitude 0.2771286656
12 WalkingUpstairs MeanBodyAccelerationMagnitude 0.272970338653846
12 WalkingDownstairs MeanBodyAccelerationMagnitude 0.281521097391304
12 Sitting MeanBodyAccelerationMagnitude 0.275007224901961
12 Standing MeanBodyAccelerationMagnitude 0.277405834918033
12 Laying MeanBodyAccelerationMagnitude 0.260113433
13 Walking MeanBodyAccelerationMagnitude 0.275883130350877
13 WalkingUpstairs MeanBodyAccelerationMagnitude 0.258203939581818
13 WalkingDownstairs MeanBodyAccelerationMagnitude 0.294907553404255
13 Sitting MeanBodyAccelerationMagnitude 0.274328499591837
13 Standing MeanBodyAccelerationMagnitude 0.277758431052632
13 Laying MeanBodyAccelerationMagnitude 0.276716360483871
14 Walking MeanBodyAccelerationMagnitude 0.271959598644068
14 WalkingUpstairs MeanBodyAccelerationMagnitude 0.26242106612963
14 WalkingDownstairs MeanBodyAccelerationMagnitude 0.293422115555556
14 Sitting MeanBodyAccelerationMagnitude 0.279990577037037
14 Standing MeanBodyAccelerationMagnitude 0.280545613833333
14 Laying MeanBodyAccelerationMagnitude 0.233275439803922
15 Walking MeanBodyAccelerationMagnitude 0.273899207962963
15 WalkingUpstairs MeanBodyAccelerationMagnitude 0.270187595833333
15 WalkingDownstairs MeanBodyAccelerationMagnitude 0.280198851190476
15 Sitting MeanBodyAccelerationMagnitude 0.27290337979661
15 Standing MeanBodyAccelerationMagnitude 0.278915803962264
15 Laying MeanBodyAccelerationMagnitude 0.2894756525
16 Walking MeanBodyAccelerationMagnitude 0.276023564509804
16 WalkingUpstairs MeanBodyAccelerationMagnitude 0.255986102627451
16 WalkingDownstairs MeanBodyAccelerationMagnitude 0.295586802191489
16 Sitting MeanBodyAccelerationMagnitude 0.280768574492754
16 Standing MeanBodyAccelerationMagnitude 0.283497402948718
16 Laying MeanBodyAccelerationMagnitude 0.274227162571429
17 Walking MeanBodyAccelerationMagnitude 0.272341855245902
17 WalkingUpstairs MeanBodyAccelerationMagnitude 0.252604768583333
17 WalkingDownstairs MeanBodyAccelerationMagnitude 0.29391828326087
17 Sitting MeanBodyAccelerationMagnitude 0.2773570196875
17 Standing MeanBodyAccelerationMagnitude 0.277942503333333
17 Laying MeanBodyAccelerationMagnitude 0.269780085577465
18 Walking MeanBodyAccelerationMagnitude 0.273887758571429
18 WalkingUpstairs MeanBodyAccelerationMagnitude 0.265401201896552
18 WalkingDownstairs MeanBodyAccelerationMagnitude 0.288439468909091
18 Sitting MeanBodyAccelerationMagnitude 0.27727001877193
18 Standing MeanBodyAccelerationMagnitude 0.278458805890411
18 Laying MeanBodyAccelerationMagnitude 0.274691576923077
19 Walking MeanBodyAccelerationMagnitude 0.273931172307692
19 WalkingUpstairs MeanBodyAccelerationMagnitude 0.242118808925
19 WalkingDownstairs MeanBodyAccelerationMagnitude 0.262688053871795
19 Sitting MeanBodyAccelerationMagnitude 0.273830316164384
19 Standing MeanBodyAccelerationMagnitude 0.27817226
19 Laying MeanBodyAccelerationMagnitude 0.272653733493976
20 Walking MeanBodyAccelerationMagnitude 0.272589336470588
20 WalkingUpstairs MeanBodyAccelerationMagnitude 0.252098317156863
20 WalkingDownstairs MeanBodyAccelerationMagnitude 0.296144421355556
20 Sitting MeanBodyAccelerationMagnitude 0.278045439090909
20 Standing MeanBodyAccelerationMagnitude 0.278076904657534
20 Laying MeanBodyAccelerationMagnitude 0.239507882205882
21 Walking MeanBodyAccelerationMagnitude 0.279183526730769
21 WalkingUpstairs MeanBodyAccelerationMagnitude 0.265194544680851
21 WalkingDownstairs MeanBodyAccelerationMagnitude 0.3014610196
21 Sitting MeanBodyAccelerationMagnitude 0.277539616823529
21 Standing MeanBodyAccelerationMagnitude 0.27695224258427
21 Laying MeanBodyAccelerationMagnitude 0.271325472455556
22 Walking MeanBodyAccelerationMagnitude 0.27886459
22 WalkingUpstairs MeanBodyAccelerationMagnitude 0.248391534566667
22 WalkingDownstairs MeanBodyAccelerationMagnitude 0.284458963861111
22 Sitting MeanBodyAccelerationMagnitude 0.273583822709677
22 Standing MeanBodyAccelerationMagnitude 0.279053861587302
22 Laying MeanBodyAccelerationMagnitude 0.279959721194444
23 Walking MeanBodyAccelerationMagnitude 0.273211884237288
23 WalkingUpstairs MeanBodyAccelerationMagnitude 0.249995171031373
23 WalkingDownstairs MeanBodyAccelerationMagnitude 0.289897411148148
23 Sitting MeanBodyAccelerationMagnitude 0.273351251617647
23 Standing MeanBodyAccelerationMagnitude 0.277899323235294
23 Laying MeanBodyAccelerationMagnitude 0.274038007986111
24 Walking MeanBodyAccelerationMagnitude 0.276980816034483
24 WalkingUpstairs MeanBodyAccelerationMagnitude 0.269881106779661
24 WalkingDownstairs MeanBodyAccelerationMagnitude 0.288631208909091
24 Sitting MeanBodyAccelerationMagnitude 0.273475690147059
24 Standing MeanBodyAccelerationMagnitude 0.280348883913043
24 Laying MeanBodyAccelerationMagnitude 0.272850494930556
25 Walking MeanBodyAccelerationMagnitude 0.278992759054054
25 WalkingUpstairs MeanBodyAccelerationMagnitude 0.277995411384615
25 WalkingDownstairs MeanBodyAccelerationMagnitude 0.291329666206897
25 Sitting MeanBodyAccelerationMagnitude 0.278541482461538
25 Standing MeanBodyAccelerationMagnitude 0.278013701621622
25 Laying MeanBodyAccelerationMagnitude 0.250791828613699
26 Walking MeanBodyAccelerationMagnitude 0.279264443728814
26 WalkingUpstairs MeanBodyAccelerationMagnitude 0.272691394545455
26 WalkingDownstairs MeanBodyAccelerationMagnitude 0.2792845828
26 Sitting MeanBodyAccelerationMagnitude 0.258243530166667
26 Standing MeanBodyAccelerationMagnitude 0.281127035405405
26 Laying MeanBodyAccelerationMagnitude 0.271645864540789
27 Walking MeanBodyAccelerationMagnitude 0.276849485438596
27 WalkingUpstairs MeanBodyAccelerationMagnitude 0.265770253921569
27 WalkingDownstairs MeanBodyAccelerationMagnitude 0.2975441875
27 Sitting MeanBodyAccelerationMagnitude 0.273941302571429
27 Standing MeanBodyAccelerationMagnitude 0.279566921625
27 Laying MeanBodyAccelerationMagnitude 0.274102492432432
28 Walking MeanBodyAccelerationMagnitude 0.281228223888889
28 WalkingUpstairs MeanBodyAccelerationMagnitude 0.262005841764706
28 WalkingDownstairs MeanBodyAccelerationMagnitude 0.293642076521739
28 Sitting MeanBodyAccelerationMagnitude 0.276977629444444
28 Standing MeanBodyAccelerationMagnitude 0.277795069113924
28 Laying MeanBodyAccelerationMagnitude 0.2759134825
29 Walking MeanBodyAccelerationMagnitude 0.271999916792453
29 WalkingUpstairs MeanBodyAccelerationMagnitude 0.265423066877551
29 WalkingDownstairs MeanBodyAccelerationMagnitude 0.293140441083333
29 Sitting MeanBodyAccelerationMagnitude 0.2771799775
29 Standing MeanBodyAccelerationMagnitude 0.277965065846154
29 Laying MeanBodyAccelerationMagnitude 0.287295196811594
30 Walking MeanBodyAccelerationMagnitude 0.276406758
30 WalkingUpstairs MeanBodyAccelerationMagnitude 0.271415642261538
30 WalkingDownstairs MeanBodyAccelerationMagnitude 0.283190646967742
30 Sitting MeanBodyAccelerationMagnitude 0.268336081379032
30 Standing MeanBodyAccelerationMagnitude 0.277112699152542
30 Laying MeanBodyAccelerationMagnitude 0.281033900571429
1 Walking MeanBodyAccelerationMagnitudeFrequency -0.0173838185273684
1 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0239531492643396
1 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.00991850461020408
1 Sitting MeanBodyAccelerationMagnitudeFrequency -0.00130828765170213
1 Standing MeanBodyAccelerationMagnitudeFrequency -0.0161375901037736
1 Laying MeanBodyAccelerationMagnitudeFrequency -0.0405139534294
2 Walking MeanBodyAccelerationMagnitudeFrequency -0.0185949199145763
2 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0214121132045833
2 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0226614158361702
2 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0156879937282609
2 Standing MeanBodyAccelerationMagnitudeFrequency -0.0184208270166667
2 Laying MeanBodyAccelerationMagnitudeFrequency -0.0181587397583333
3 Walking MeanBodyAccelerationMagnitudeFrequency -0.0171767844203448
3 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0324109410555932
3 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0193554079328571
3 Sitting MeanBodyAccelerationMagnitudeFrequency -0.00350299841730769
3 Standing MeanBodyAccelerationMagnitudeFrequency -0.0143376555065574
3 Laying MeanBodyAccelerationMagnitudeFrequency -0.0189556785048387
4 Walking MeanBodyAccelerationMagnitudeFrequency -0.0148399475341667
4 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0319804295729615
4 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.00980200850666667
4 Sitting MeanBodyAccelerationMagnitudeFrequency -0.007163065158
4 Standing MeanBodyAccelerationMagnitudeFrequency -0.00948911098553571
4 Laying MeanBodyAccelerationMagnitudeFrequency -0.0150031841055556
5 Walking MeanBodyAccelerationMagnitudeFrequency -0.0172850317482679
5 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0325269755153191
5 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.00850107533191489
5 Sitting MeanBodyAccelerationMagnitudeFrequency -0.00990083527045455
5 Standing MeanBodyAccelerationMagnitudeFrequency -0.00700418554517857
5 Laying MeanBodyAccelerationMagnitudeFrequency -0.0183042123269231
6 Walking MeanBodyAccelerationMagnitudeFrequency -0.0168954189082456
6 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0272425385070588
6 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.019536840063125
6 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0145911615290909
6 Standing MeanBodyAccelerationMagnitudeFrequency -0.0181236327175439
6 Laying MeanBodyAccelerationMagnitudeFrequency -0.0102529170561404
7 Walking MeanBodyAccelerationMagnitudeFrequency -0.018653665345614
7 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0275639005607843
7 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0166332372978723
7 Sitting MeanBodyAccelerationMagnitudeFrequency -0.01461097580375
7 Standing MeanBodyAccelerationMagnitudeFrequency -0.0145740341037736
7 Laying MeanBodyAccelerationMagnitudeFrequency -0.0204411516884615
8 Walking MeanBodyAccelerationMagnitudeFrequency -0.0186628865310417
8 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0282415136341463
8 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0211058674973684
8 Sitting MeanBodyAccelerationMagnitudeFrequency -0.00672550621304348
8 Standing MeanBodyAccelerationMagnitudeFrequency -0.0148113067148148
8 Laying MeanBodyAccelerationMagnitudeFrequency -0.0212281733881481
9 Walking MeanBodyAccelerationMagnitudeFrequency -0.0180891971284423
9 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0195101099975714
9 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0203994269075476
9 Sitting MeanBodyAccelerationMagnitudeFrequency -0.02701677698
9 Standing MeanBodyAccelerationMagnitudeFrequency -0.0200454954022222
9 Laying MeanBodyAccelerationMagnitudeFrequency -0.020526821662
10 Walking MeanBodyAccelerationMagnitudeFrequency -0.017022351190566
10 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0143854920340426
10 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0200050770710526
10 Sitting MeanBodyAccelerationMagnitudeFrequency -0.015042681852037
10 Standing MeanBodyAccelerationMagnitudeFrequency -0.0155418603409091
10 Laying MeanBodyAccelerationMagnitudeFrequency -0.024294484137931
11 Walking MeanBodyAccelerationMagnitudeFrequency -0.0166475833623729
11 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0303157822055556
11 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0178097721219565
11 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0149195616754717
11 Standing MeanBodyAccelerationMagnitudeFrequency -0.0171990886595745
11 Laying MeanBodyAccelerationMagnitudeFrequency -0.0176598052315789
12 Walking MeanBodyAccelerationMagnitudeFrequency -0.015560927606
12 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0263574903403846
12 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.018084266865793
12 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0157892988523529
12 Standing MeanBodyAccelerationMagnitudeFrequency -0.0169002543196721
12 Laying MeanBodyAccelerationMagnitudeFrequency -0.0175203917146667
13 Walking MeanBodyAccelerationMagnitudeFrequency -0.0185660651947368
13 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0277392253910909
13 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0143723839108511
13 Sitting MeanBodyAccelerationMagnitudeFrequency -0.00587732936326531
13 Standing MeanBodyAccelerationMagnitudeFrequency -0.0167891993964912
13 Laying MeanBodyAccelerationMagnitudeFrequency -0.020440454366129
14 Walking MeanBodyAccelerationMagnitudeFrequency -0.0217785380966102
14 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0204388180024074
14 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0200141413657778
14 Sitting MeanBodyAccelerationMagnitudeFrequency -0.00870565463888889
14 Standing MeanBodyAccelerationMagnitudeFrequency -0.01520781344
14 Laying MeanBodyAccelerationMagnitudeFrequency -0.0113424652490196
15 Walking MeanBodyAccelerationMagnitudeFrequency -0.0170809740090741
15 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0287523860708333
15 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.00563047804309524
15 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0117188472271186
15 Standing MeanBodyAccelerationMagnitudeFrequency -0.0183516360396226
15 Laying MeanBodyAccelerationMagnitudeFrequency -0.0166296542054167
16 Walking MeanBodyAccelerationMagnitudeFrequency -0.0204286929452941
16 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0143654945011765
16 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0183898583787234
16 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0102497939956522
16 Standing MeanBodyAccelerationMagnitudeFrequency -0.0165999672935897
16 Laying MeanBodyAccelerationMagnitudeFrequency -0.0166103510562857
17 Walking MeanBodyAccelerationMagnitudeFrequency -0.0184875403339344
17 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0228645614308333
17 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0167359404347826
17 Sitting MeanBodyAccelerationMagnitudeFrequency -0.014156274084375
17 Standing MeanBodyAccelerationMagnitudeFrequency -0.0174120064169231
17 Laying MeanBodyAccelerationMagnitudeFrequency -0.0168462006729577
18 Walking MeanBodyAccelerationMagnitudeFrequency -0.0178023631866071
18 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0222060684378914
18 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0168666920221818
18 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0128691279736842
18 Standing MeanBodyAccelerationMagnitudeFrequency -0.0166353518150685
18 Laying MeanBodyAccelerationMagnitudeFrequency -0.0173937684615385
19 Walking MeanBodyAccelerationMagnitudeFrequency -0.0191773587903846
19 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0303986615775
19 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0145942275069487
19 Sitting MeanBodyAccelerationMagnitudeFrequency -0.016739260030137
19 Standing MeanBodyAccelerationMagnitudeFrequency -0.0154244056945205
19 Laying MeanBodyAccelerationMagnitudeFrequency -0.0171426864421687
20 Walking MeanBodyAccelerationMagnitudeFrequency -0.021199992245098
20 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0282258047588235
20 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.00964120773155556
20 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0147229305131818
20 Standing MeanBodyAccelerationMagnitudeFrequency -0.0180695049161644
20 Laying MeanBodyAccelerationMagnitudeFrequency -0.0144406281132353
21 Walking MeanBodyAccelerationMagnitudeFrequency -0.0181610317526923
21 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0237218695148936
21 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0173195390157778
21 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0144009705494118
21 Standing MeanBodyAccelerationMagnitudeFrequency -0.0167084730205618
21 Laying MeanBodyAccelerationMagnitudeFrequency -0.0184233048415556
22 Walking MeanBodyAccelerationMagnitudeFrequency -0.0167213607957174
22 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0268622561133333
22 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0197999371686389
22 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0123468446419355
22 Standing MeanBodyAccelerationMagnitudeFrequency -0.0158563207496825
22 Laying MeanBodyAccelerationMagnitudeFrequency -0.0142629864502778
23 Walking MeanBodyAccelerationMagnitudeFrequency -0.0183618711932203
23 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0323844029237255
23 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0162111457238889
23 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0133945015676471
23 Standing MeanBodyAccelerationMagnitudeFrequency -0.0177475547867647
23 Laying MeanBodyAccelerationMagnitudeFrequency -0.0216553835833333
24 Walking MeanBodyAccelerationMagnitudeFrequency -0.0225446400534483
24 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0251979434569492
24 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0145730348310909
24 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0131255097938235
24 Standing MeanBodyAccelerationMagnitudeFrequency -0.0144785340348986
24 Laying MeanBodyAccelerationMagnitudeFrequency -0.0173555210111111
25 Walking MeanBodyAccelerationMagnitudeFrequency -0.0186477624716216
25 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0269863524264615
25 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0210170522987931
25 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0147696808030769
25 Standing MeanBodyAccelerationMagnitudeFrequency -0.0163569730274324
25 Laying MeanBodyAccelerationMagnitudeFrequency -0.0188943663671233
26 Walking MeanBodyAccelerationMagnitudeFrequency -0.0154259586949153
26 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0281633797398182
26 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.01262580966778
26 Sitting MeanBodyAccelerationMagnitudeFrequency -0.00713364541358974
26 Standing MeanBodyAccelerationMagnitudeFrequency -0.0166608306652703
26 Laying MeanBodyAccelerationMagnitudeFrequency -0.0191895728026316
27 Walking MeanBodyAccelerationMagnitudeFrequency -0.0166478783221912
27 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0200953324078431
27 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0135564467159091
27 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0155269799285714
27 Standing MeanBodyAccelerationMagnitudeFrequency -0.016593236445
27 Laying MeanBodyAccelerationMagnitudeFrequency -0.0179867611216216
28 Walking MeanBodyAccelerationMagnitudeFrequency -0.0156759722981481
28 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0279443943478431
28 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0220230465913043
28 Sitting MeanBodyAccelerationMagnitudeFrequency -0.0185404441258333
28 Standing MeanBodyAccelerationMagnitudeFrequency -0.0172635124672152
28 Laying MeanBodyAccelerationMagnitudeFrequency -0.0167537858225
29 Walking MeanBodyAccelerationMagnitudeFrequency -0.0162915600588679
29 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0299465312326531
29 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.01494121505625
29 Sitting MeanBodyAccelerationMagnitudeFrequency -0.016630680375
29 Standing MeanBodyAccelerationMagnitudeFrequency -0.0172605869061538
29 Laying MeanBodyAccelerationMagnitudeFrequency -0.0171965484202899
30 Walking MeanBodyAccelerationMagnitudeFrequency -0.0175880385730769
30 WalkingUpstairs MeanBodyAccelerationMagnitudeFrequency -0.0253311698786154
30 WalkingDownstairs MeanBodyAccelerationMagnitudeFrequency -0.0174383900204839
30 Sitting MeanBodyAccelerationMagnitudeFrequency -0.00804731295322581
30 Standing MeanBodyAccelerationMagnitudeFrequency -0.0170163887813559
30 Laying MeanBodyAccelerationMagnitudeFrequency -0.0194494098614286
1 Walking MeanBodyAccelerationXAxis -0.111148103547368
1 WalkingUpstairs MeanBodyAccelerationXAxis -0.0973020020943396
1 WalkingDownstairs MeanBodyAccelerationXAxis -0.107566190908163
1 Sitting MeanBodyAccelerationXAxis -0.104544182255319
1 Standing MeanBodyAccelerationXAxis -0.110601817735849
1 Laying MeanBodyAccelerationXAxis -0.11320355358
2 Walking MeanBodyAccelerationXAxis -0.105500357966102
2 WalkingUpstairs MeanBodyAccelerationXAxis -0.152513899520833
2 WalkingDownstairs MeanBodyAccelerationXAxis -0.116812942382979
2 Sitting MeanBodyAccelerationXAxis -0.109218272456522
2 Standing MeanBodyAccelerationXAxis -0.105908536055556
2 Laying MeanBodyAccelerationXAxis -0.107245610416667
3 Walking MeanBodyAccelerationXAxis -0.112674859827586
3 WalkingUpstairs MeanBodyAccelerationXAxis -0.110064863437288
3 WalkingDownstairs MeanBodyAccelerationXAxis -0.116139842908163
3 Sitting MeanBodyAccelerationXAxis -0.0983579203269231
3 Standing MeanBodyAccelerationXAxis -0.101621722633148
3 Laying MeanBodyAccelerationXAxis -0.101300477506452
4 Walking MeanBodyAccelerationXAxis -0.11140306485
4 WalkingUpstairs MeanBodyAccelerationXAxis -0.114219455519231
4 WalkingDownstairs MeanBodyAccelerationXAxis -0.1067775246
4 Sitting MeanBodyAccelerationXAxis -0.10587459588
4 Standing MeanBodyAccelerationXAxis -0.0961574905535714
4 Laying MeanBodyAccelerationXAxis -0.110688150314815
5 Walking MeanBodyAccelerationXAxis -0.107741776464286
5 WalkingUpstairs MeanBodyAccelerationXAxis -0.107471453914894
5 WalkingDownstairs MeanBodyAccelerationXAxis -0.100319930659574
5 Sitting MeanBodyAccelerationXAxis -0.108540300265909
5 Standing MeanBodyAccelerationXAxis -0.102171095696429
5 Laying MeanBodyAccelerationXAxis -0.107937603673077
6 Walking MeanBodyAccelerationXAxis -0.110303165877193
6 WalkingUpstairs MeanBodyAccelerationXAxis -0.122082438784314
6 WalkingDownstairs MeanBodyAccelerationXAxis -0.107209356208333
6 Sitting MeanBodyAccelerationXAxis -0.110127728709091
6 Standing MeanBodyAccelerationXAxis -0.112172831947368
6 Laying MeanBodyAccelerationXAxis -0.133119570368421
7 Walking MeanBodyAccelerationXAxis -0.110912234947368
7 WalkingUpstairs MeanBodyAccelerationXAxis -0.143769688803922
7 WalkingDownstairs MeanBodyAccelerationXAxis -0.096938308587234
7 Sitting MeanBodyAccelerationXAxis -0.122464597625
7 Standing MeanBodyAccelerationXAxis -0.0997778303207547
7 Laying MeanBodyAccelerationXAxis -0.101361036576923
8 Walking MeanBodyAccelerationXAxis -0.107252090833333
8 WalkingUpstairs MeanBodyAccelerationXAxis -0.11512211995122
